id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2020-05-29 06:57:39,突尼斯,1068,0,938,48,0,,17.0,0.0,9.0,0.0,0.0,8.0,
9507896,2020-05-29 22:28:33,塞尔维亚,11354,0,6524,242,0,,54.0,0.0,86.0,1.0,0.0,-33.0,
0,2020-05-29 21:41:47,中国,84561,5,79800,4645,4,1734.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0
1,2020-05-29 14:27:53,日本,17545,0,14908,902,0,,74.0,,144.0,8.0,,-78.0,
2,2020-05-29 13:22:08,泰国,3076,0,2945,57,0,,11.0,0.0,0.0,0.0,0.0,11.0,
3,2020-05-29 16:08:44,新加坡,33860,0,18294,23,0,,611.0,0.0,0.0,0.0,0.0,611.0,
4,2020-05-29 09:58:39,韩国,11402,0,10363,269,0,,58.0,,61.0,0.0,,-3.0,
5,2020-05-29 13:28:05,澳大利亚,7165,0,6580,103,0,,15.0,0.0,0.0,0.0,0.0,15.0,
6,2020-05-29 11:00:31,德国,182452,0,163200,8570,0,,557.0,0.0,400.0,37.0,0.0,120.0,
7,2020-05-29 21:33:11,美国,1770306,0,498938,103365,0,,1845.0,,213.0,35.0,,1597.0,
8,2020-05-29 17:36:15,马来西亚,7732,0,6235,115,0,,103.0,0.0,66.0,0.0,0.0,37.0,
9,2020-05-28 09:49:59,越南,327,0,278,0,0,,,0.0,,,0.0,,
89566,2020-05-28 11:48:14,圣巴泰勒米,6,0,6,0,0,,,,,,,,
821,2020-05-29 21:28:22,肯尼亚,1745,0,438,62,0,,127.0,0.0,17.0,4.0,0.0,106.0,
826,2020-05-29 18:31:51,伊朗,146668,0,114931,7677,0,,2819.0,,1943.0,50.0,,826.0,
827,2020-05-29 18:32:53,以色列,16887,0,14727,284,0,,15.0,0.0,48.0,0.0,0.0,-33.0,
828,2020-05-28 11:28:08,毛利亚尼亚,16,0,6,2,0,,,,,,,,
829,2020-05-29 12:39:53,黎巴嫩,1168,0,699,26,0,,7.0,0.0,7.0,0.0,0.0,0.0,
833,2020-05-29 11:53:13,克罗地亚,2245,0,2051,102,0,,1.0,0.0,4.0,1.0,0.0,-4.0,
834,2020-05-29 11:35:02,奥地利,16628,0,15286,668,0,,37.0,0.0,58.0,23.0,0.0,-44.0,
835,2020-05-29 21:25:32,瑞士,30828,0,28300,1919,0,,32.0,0.0,0.0,0.0,0.0,32.0,
839,2020-05-29 11:49:50,希腊,2906,0,1374,175,0,,3.0,0.0,0.0,2.0,0.0,1.0,
95800,2020-05-28 11:37:56,毛里求斯,334,0,322,10,0,,,,,,,,
845,2020-05-29 11:54:27,爱沙尼亚,1851,0,1574,66,0,,11.0,0.0,13.0,0.0,0.0,-2.0,
846,2020-05-29 20:26:16,北马其顿,2129,0,1516,126,0,,51.0,0.0,30.0,4.0,0.0,17.0,
850,2020-05-29 11:11:32,白俄罗斯,39858,0,16660,219,0,,902.0,0.0,737.0,5.0,0.0,160.0,
851,2020-05-29 12:34:54,立陶宛,1656,0,1193,68,0,,9.0,0.0,9.0,2.0,0.0,-2.0,
852,2020-05-29 06:59:13,阿塞拜疆,4759,0,3022,56,0,,191.0,0.0,125.0,2.0,0.0,64.0,
875097,2020-05-28 18:09:16,美属维尔京群岛,69,0,46,6,0,,,,,,,,
95826,2020-05-29 13:31:14,蒙古,179,0,43,0,0,,18.0,0.0,0.0,0.0,0.0,18.0,
872,2020-05-29 20:16:55,乌克兰,22811,0,8934,679,0,,429.0,0.0,495.0,10.0,0.0,-76.0,
874,2020-05-29 20:15:36,波兰,22964,0,10692,1043,0,,139.0,0.0,132.0,5.0,0.0,2.0,
879,2020-05-29 20:25:41,波黑,2485,0,1803,153,0,,23.0,0.0,22.0,0.0,0.0,1.0,
80902,2020-05-28 11:51:06,蒙特塞拉特,11,0,10,1,0,,,,,,,,
880,2020-05-29 17:22:45,南非,27403,0,14370,577,0,,,,,,,,
95198,2020-05-28 11:52:33,布隆迪,42,0,20,1,0,,,,,,,,
95215522,2020-05-28 05:02:13,南苏丹,994,0,6,10,0,,,0.0,,,0.0,,
893,2020-05-29 12:50:36,马耳他,616,0,501,7,0,,4.0,0.0,10.0,0.0,0.0,-6.0,
896,2020-05-29 11:42:03,摩尔多瓦,7725,0,4123,282,0,,188.0,0.0,239.0,8.0,0.0,-59.0,
897,2020-05-29 20:24:55,保加利亚,2485,0,1016,136,0,,8.0,0.0,51.0,2.0,0.0,-45.0,
898,2020-05-29 17:29:30,孟加拉国,42844,0,9015,582,0,,2523.0,0.0,590.0,23.0,0.0,1910.0,
899,2020-05-29 20:28:25,阿尔巴尼亚,1099,0,851,33,0,,23.0,0.0,28.0,0.0,0.0,-5.0,
950000,2020-05-29 12:52:56,巴勒斯坦,446,0,368,3,0,,12.0,0.0,3.0,0.0,0.0,9.0,
95kml,2020-05-28 11:54:44,科摩罗,87,0,24,2,0,,,0.0,,,0.0,,
953333,2020-05-29 20:19:02,阿富汗,13659,0,1259,246,0,,623.0,0.0,50.0,11.0,0.0,562.0,
95888822,2020-05-29 11:03:53,沙特阿拉伯,80185,0,54553,441,0,,1644.0,0.0,3531.0,16.0,0.0,-1903.0,
9511123,2020-05-29 13:47:27,新西兰,1504,0,1481,22,0,,0.0,0.0,7.0,0.0,0.0,-7.0,
95333,2020-05-29 11:47:21,塔吉克斯坦,3563,0,1674,47,0,,139.0,0.0,99.0,0.0,0.0,40.0,
83356,2020-05-29 00:00:32,泽西岛,307,0,0,29,0,,,,,,,,
954467,2020-05-29 13:00:54,叙利亚,122,0,43,4,0,,1.0,0.0,0.0,0.0,0.0,1.0,
95327,2020-05-29 11:37:26,巴拿马,12131,0,7379,320,0,,403.0,0.0,0.0,5.0,0.0,398.0,
95329,2020-05-29 11:54:11,古巴,1983,0,1734,82,0,,9.0,0.0,10.0,0.0,0.0,-1.0,
9511111,2020-05-29 07:30:15,尼日利亚,8915,0,2592,259,0,,182.0,0.0,91.0,5.0,0.0,86.0,
95858585,2020-05-29 20:21:37,摩洛哥,7697,0,5223,202,0,,54.0,0.0,28.0,0.0,0.0,26.0,
9500222,2020-05-29 19:43:50,塞内加尔,3429,0,1738,41,0,,81.0,0.0,52.0,2.0,0.0,27.0,
95118,2020-05-28 11:44:37,老挝,19,0,16,0,0,,,0.0,,,0.0,,
95350,2020-05-29 13:31:35,巴哈马,101,0,46,11,0,,1.0,0.0,0.0,0.0,0.0,1.0,
84226,2020-05-29 12:34:36,马约特岛,1670,0,1315,21,0,,25.0,0.0,1.0,1.0,0.0,23.0,
954444,2020-05-29 12:38:02,斯洛文尼亚,1473,0,1356,108,0,,2.0,0.0,2.0,0.0,0.0,0.0,
95103,2020-05-29 11:46:33,卢森堡,4008,0,3803,110,0,,7.0,0.0,12.0,0.0,0.0,-5.0,
95106,2020-05-29 11:31:39,爱尔兰,24841,0,22089,1639,0,,38.0,0.0,0.0,8.0,0.0,30.0,
95102,2020-05-29 11:20:42,厄瓜多尔,38471,0,18425,3313,0,,368.0,0.0,0.0,38.0,0.0,330.0,
957777,2020-05-29 20:21:00,捷克,9143,0,6464,319,0,,9.0,0.0,7.0,1.0,0.0,1.0,
9522222,2020-05-29 20:23:28,匈牙利,3841,0,2024,517,0,,25.0,0.0,28.0,8.0,0.0,-11.0,
8101,2020-05-29 12:53:29,法属圭亚那,436,0,161,1,0,,30.0,0.0,11.0,0.0,0.0,19.0,
8102,2020-05-29 12:54:02,多哥共和国,422,0,197,13,0,,27.0,0.0,14.0,0.0,0.0,13.0,
8100,2020-05-29 12:41:44,哥斯达黎加,1000,0,646,10,0,,16.0,0.0,7.0,0.0,0.0,9.0,
8105,2020-05-29 13:58:21,文莱,141,0,138,2,0,,0.0,0.0,1.0,0.0,0.0,-1.0,
8103,2020-05-29 12:59:18,法罗群岛,187,0,187,0,0,,0.0,,0.0,0.0,,0.0,
8104,2020-05-28 11:18:24,马提尼克岛,197,0,91,14,0,,,,,,,,
95120,2020-05-29 21:27:15,荷兰,46126,0,322,5931,0,,176.0,0.0,0.0,28.0,0.0,148.0,
951234567,2020-05-29 08:50:23,巴西,438238,0,177604,26754,0,,23577.0,0.0,10957.0,1057.0,0.0,11563.0,
8115,2020-05-29 13:29:04,洪都拉斯,4752,0,519,196,0,,112.0,0.0,13.0,2.0,0.0,97.0,
95394,2020-05-29 12:45:23,乌拉圭,811,0,654,22,0,,8.0,0.0,4.0,0.0,0.0,4.0,
95390,2020-05-29 11:02:25,秘鲁,141779,0,59442,4099,0,,5874.0,0.0,3273.0,116.0,0.0,2485.0,
956666,2020-05-29 11:03:21,智利,86943,0,36150,890,0,,4654.0,0.0,2610.0,49.0,0.0,1995.0,
95389,2020-05-28 11:39:17,格陵兰,13,0,11,0,0,,,0.0,,,0.0,,
95382,2020-05-28 11:00:34,圣巴托洛谬岛,6,0,6,0,0,,,,,,,,
950101010,2020-05-29 12:37:13,马尔代夫,1513,0,197,5,0,,56.0,0.0,0.0,0.0,0.0,56.0,
95384,2020-05-29 12:38:31,委内瑞拉,1325,0,302,11,0,,80.0,0.0,0.0,0.0,0.0,80.0,
8134,2020-05-29 07:26:59,毛里塔尼亚,346,0,15,19,0,,54.0,0.0,0.0,3.0,0.0,51.0,
8135,2020-05-29 20:32:56,纳米比亚,23,0,14,0,0,,1.0,0.0,0.0,0.0,0.0,1.0,
8132,2020-05-29 12:52:03,法属留尼汪岛,465,0,411,1,0,,5.0,0.0,0.0,0.0,0.0,5.0,
8133,2020-05-29 00:00:32,波多黎各,3397,0,0,129,0,,,,,,,,
95732,2020-05-29 20:22:12,加纳,7616,0,2421,34,0,,313.0,0.0,9.0,0.0,0.0,304.0,
8136,2020-05-28 11:31:22,赤道几内亚,1043,0,165,12,0,,,,,,,,
8130,2020-05-29 11:47:48,几内亚,3553,0,1950,22,0,,195.0,0.0,167.0,2.0,0.0,26.0,
8131,2020-05-29 12:54:36,卢旺达,349,0,245,0,0,,3.0,0.0,0.0,0.0,0.0,3.0,
80001,2020-05-28 11:50:44,格林纳达,23,0,18,0,0,,,,,,,,
8129,2020-05-29 12:56:12,斯威士兰,279,0,168,2,0,,7.0,0.0,0.0,0.0,0.0,7.0,
8145,2020-05-28 11:35:06,坦桑尼亚,509,0,183,21,0,,,,,,,,
8146,2020-05-28 11:35:18,贝宁,210,0,134,3,0,,,0.0,,,0.0,,
8143,2020-05-29 16:10:49,刚果（金）,2833,0,400,69,0,,173.0,0.0,19.0,0.0,0.0,154.0,
8144,2020-05-29 07:08:33,中非共和国,755,0,23,1,0,,53.0,0.0,0.0,0.0,0.0,53.0,
8147,2020-05-29 12:58:12,利比里亚,269,0,144,27,0,,3.0,0.0,0.0,0.0,0.0,3.0,
8148,2020-05-29 07:21:52,索马里,1828,0,310,72,0,,97.0,0.0,45.0,5.0,0.0,47.0,
95123456,2020-05-29 12:44:52,塞拉利昂,812,0,361,45,0,,30.0,0.0,64.0,0.0,0.0,-34.0,
95XXXX,2020-05-29 12:49:49,乍得,726,0,413,65,0,,11.0,0.0,54.0,1.0,0.0,-44.0,
8152,2020-05-29 13:48:25,赞比亚,1057,0,779,7,0,,,,,,,,
8151,2020-05-28 11:37:28,巴巴多斯,92,0,76,7,0,,,0.0,,,0.0,,
95mali,2020-05-29 07:10:12,马里,1194,0,652,72,0,,78.0,0.0,20.0,2.0,0.0,56.0,
958888,2020-05-29 08:51:40,阿根廷,14702,0,4617,508,0,,769.0,0.0,268.0,8.0,0.0,493.0,
81113,2020-05-29 13:02:14,法属波利尼西亚,60,0,60,0,0,,0.0,,0.0,0.0,,0.0,
9584332,2020-05-29 20:20:28,巴林,10352,0,5491,15,0,,300.0,0.0,72.0,0.0,0.0,228.0,
8168,2020-05-29 12:57:30,莫桑比克,233,0,82,2,0,,6.0,0.0,11.0,1.0,0.0,-6.0,
95747,2020-05-29 11:44:56,喀麦隆,5436,0,1996,175,0,,,,,,,,
